Gene,Genotype(s),Therapeutic Area(s),Drug(s)
NUDT15,*5/*9,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
NUDT15,*6/*6,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
NUDT15,*6/*7,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
NUDT15,*6/*8,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
NUDT15,*6/*9,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
NUDT15,*7/*7,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
NUDT15,*7/*8,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
NUDT15,*7/*9,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
NUDT15,*8/*8,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
NUDT15,*8/*9,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
NUDT15,*9/*9,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"azathioprine, mercaptopurine, thioguanine"
